Jugador,Temporada,Fecha,Equipo,Oponente,Goles,Asistencias,Día de la semana,Sede,Titular,Minutos,Penales marcados,Penales intentados,Tiros totales,Tiros a puerta,Tarjetas amarillas,Tarjetas rojas,Faltas cometidas,Faltas recibidas,Fuera de juego,Centros,Entradas ganadas,Intercepciones,Goles en propia,Penales ganados,Penales concedidos,Año,Mes,Equipo_Estandarizado,Equipo_Es_Colombiano,Equipo_Bucaramanga,Equipo_Independiente Santa Fe,Equipo_Junior,Equipo_Millonarios,Equipo_Once Caldas,Equipo_Pereira,Equipo_Rionegro,Oponente_Estandarizado,Oponente_Es_Colombiano,Oponente_Alianza FC,Oponente_Atlético Huila,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_Junior,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Pereira,Oponente_Rionegro,Oponente_Unión Magdalena,Sede_Local,Sede_Visitante,Sede_Neutral,Goles_por_90min,Eficiencia_Tiro,Precision_Tiro,Indice_Ofensivo,Indice_Disciplina,Indice_Participacion,Score_Global_Ataque,Tasa_Conversion_Penales,Ratio_Faltas
Carlos_Bacca,2023,2023-04-03,Junior,Alianza,0,0,Mon,HOME,Y,55,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2023,4,Junior,True,False,False,True,False,False,False,False,Alianza FC,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,100.0,0.4,10,6.111111111111112,3.0733333333333333,0.0,0.0
Carlos_Bacca,2023,2023-04-10,Junior,Nacional,0,0,Mon,AWAY,Y,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,4,Junior,True,False,False,True,False,False,False,False,Atlético Nacional,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,5.0,2.5,0.0,0.0
Carlos_Bacca,2023,2023-04-13,Junior,Boyacá Chicó,0,0,Thu,HOME,Y,68,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2023,4,Junior,True,False,False,True,False,False,False,False,Boyacá Chicó,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,100.0,0.2,10,7.555555555555555,3.3866666666666667,0.0,1.0
Carlos_Bacca,2023,2023-04-16,Junior,Tolima,0,0,Sun,AWAY,Y,60,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2023,4,Junior,True,False,False,True,False,False,False,False,Deportes Tolima,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,50.0,0.2,10,6.666666666666666,3.12,0.0,0.0
Carlos_Bacca,2023,2023-04-22,Junior,Jaguares,0,0,Sat,HOME,Y,54,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2023,4,Junior,True,False,False,True,False,False,False,False,Jaguares,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,50.0,0.2,10,6.0,2.92,0.0,0.0
Carlos_Bacca,2023,2023-05-06,Junior,Once Caldas,0,0,Sat,AWAY,N,45,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2023,5,Junior,True,False,False,True,False,False,False,False,Once Caldas,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,0,0.0,0.0,50.0,0.2,10,5.0,2.62,0.0,1.0
Carlos_Bacca,2023,2023-05-13,Junior,Pereira,0,0,Sat,HOME,Y,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2023,5,Junior,True,False,False,True,False,False,False,False,Pereira,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0.0,0.0,0.0,0.0,10,6.111111111111112,2.8333333333333335,0.0,0.0
Carlos_Bacca,2023,2023-07-15,Junior,Rionegro,0,0,Sat,HOME,Y*,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,7,Junior,True,False,False,True,False,False,False,False,Rionegro,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0.0,0.0,0.0,0.0,10,7.222222222222222,3.1666666666666665,0.0,0.0
Carlos_Bacca,2023,2023-07-23,Junior,Independiente,0,0,Sun,AWAY,Y*,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2023,7,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,5.0,2.5,0.0,2.0
Carlos_Bacca,2023,2023-07-31,Junior,CA Bucaramanga,0,0,Mon,HOME,Y*,68,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2023,7,Junior,True,False,False,True,False,False,False,False,Bucaramanga,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,50.0,0.4,10,7.555555555555555,3.506666666666667,0.0,0.0
